source_name,source_job_id,job_fingerprint,title,company_name,location_city,location_country,posting_date,source_url
tanqeeb,21219525,,إعلان الهيئة المصرية لضمان الجودة والاعتماد في التعليم الفني والتقني والتدريب المهني (إتقان) عن وظيفة مدير إدارة مراجعة مؤسسات وبرامج التعليم الفني,الهيئة المصرية لضمان الجودة والاعتماد في التعليم الفني والتقني والتدريب المهني (إتقان),Cairo,Saudi Arabia,2026-09-08,https://saudi.tanqeeb.com/jobs-in-saudi/all/jobs/021219525.html
tanqeeb,21219514,,إعلان مستشفى الملك فيصل التخصصي عن وظائف في عدد من التخصصات,مستشفى الملك فيصل التخصصي,Riyadh,Saudi Arabia,2026-09-08,https://saudi.tanqeeb.com/jobs-in-saudi/all/jobs/021219514.html
tanqeeb,21219508,,إعلان شركة طيران ناس عن فتح التوظيف بالضيافة الجوية,شركة طيران ناس,Abha,Saudi Arabia,2026-09-08,https://saudi.tanqeeb.com/jobs-in-saudi/all/jobs/021219508.html
tanqeeb,21214958,,Higher Institute Director,be,Jeddah,Saudi Arabia,2026-09-06,https://saudi.tanqeeb.com/jobs-in-saudi/all/jobs/021214958.html
tanqeeb,21212463,,Online International Curriculum Teacher (British / American / IB),Faheem,Riyadh,Saudi Arabia,2026-09-05,https://saudi.tanqeeb.com/jobs-in-saudi/all/jobs/021212463.html
tanqeeb,21185216,,Arabic and Religion Teacher,اليراعم الذهبية,Jeddah,Saudi Arabia,2026-08-25,https://saudi.tanqeeb.com/jobs-in-saudi/all/jobs/021185216.html
tanqeeb,21173554,,HR Trainer,معهد تأسيس العالي للتدريب,Riyadh,Saudi Arabia,2026-08-19,https://saudi.tanqeeb.com/jobs-in-saudi/all/jobs/021173554.html
tanqeeb,21164865,,Administrative Officer,شركة تدريب,Riyadh,Saudi Arabia,2026-08-16,https://saudi.tanqeeb.com/jobs-in-saudi/all/jobs/021164865.html
tanqeeb,21140247,,Sous Chef,,Riyadh,Saudi Arabia,2026-08-07,https://saudi.tanqeeb.com/jobs-in-saudi/all/jobs/021140247.html
tanqeeb,21122516,,English Language Teacher,,Riyadh,Saudi Arabia,2026-08-02,https://saudi.tanqeeb.com/jobs-in-saudi/all/jobs/021122516.html
tanqeeb,21122515,,Mathematics Teacher,,Riyadh,Saudi Arabia,2026-08-02,https://saudi.tanqeeb.com/jobs-in-saudi/all/jobs/021122515.html
tanqeeb,21217120,,Electrician,TRUST INTERNATIONAL,Al Ahsa,Saudi Arabia,2026-09-07,https://saudi.tanqeeb.com/jobs-in-saudi/all/jobs/021217120.html
tanqeeb,21212262,,#Electrical_Technician,Green,Riyadh,Saudi Arabia,2026-09-05,https://saudi.tanqeeb.com/jobs-in-saudi/all/jobs/021212262.html
tanqeeb,21209922,,Automotive Electrician,سمارت فيوجن,Jeddah,Saudi Arabia,2026-09-03,https://saudi.tanqeeb.com/jobs-in-saudi/all/jobs/021209922.html
tanqeeb,21201832,,Florist,تنسيق شهد للورود والهدايا,Al Ahsa,Saudi Arabia,2026-09-01,https://saudi.tanqeeb.com/jobs-in-saudi/all/jobs/021201832.html
tanqeeb,21197185,,سائق صف سيارات (فاليه),MASAR VALET,Riyadh,Saudi Arabia,2026-08-31,https://saudi.tanqeeb.com/jobs-in-saudi/all/jobs/021197185.html
tanqeeb,21196639,,Safety Engineer,artek,Riyadh,Saudi Arabia,2026-08-30,https://saudi.tanqeeb.com/jobs-in-saudi/all/jobs/021196639.html
tanqeeb,21196083,,Sales Representative,مصنع بيتا,Jeddah,Saudi Arabia,2026-08-30,https://saudi.tanqeeb.com/jobs-in-saudi/all/jobs/021196083.html
tanqeeb,21215326,,Architect,اشراق نجد للمقاولات,Riyadh,Saudi Arabia,2026-09-06,https://saudi.tanqeeb.com/jobs-in-saudi/all/jobs/021215326.html
tanqeeb,21209918,,Architect,مكتب هندسي,Riyadh,Saudi Arabia,2026-09-03,https://saudi.tanqeeb.com/jobs-in-saudi/all/jobs/021209918.html
tanqeeb,21196645,,مهندس كهرباء,مكتب القرافي للأستشارات الهندسية,Jeddah,Saudi Arabia,2026-08-30,https://saudi.tanqeeb.com/jobs-in-saudi/all/jobs/021196645.html
tanqeeb,21196644,,مهندس معماري,استشارات هندسية ومقاولات,Riyadh,Saudi Arabia,2026-08-30,https://saudi.tanqeeb.com/jobs-in-saudi/all/jobs/021196644.html
tanqeeb,21196348,,Electrician Required,Esad,Riyadh,Saudi Arabia,2026-08-30,https://saudi.tanqeeb.com/jobs-in-saudi/all/jobs/021196348.html
tanqeeb,21195135,,Civil Engineer,اشراق نجد للمقاولات,Riyadh,Saudi Arabia,2026-08-29,https://saudi.tanqeeb.com/jobs-in-saudi/all/jobs/021195135.html
tanqeeb,21191709,,Civil Engineer,مصنع مبدع الفن للصناعة,Qatif,Saudi Arabia,2026-08-27,https://saudi.tanqeeb.com/jobs-in-saudi/all/jobs/021191709.html
tanqeeb,21191681,,Structure Design Engineer,مكتب القرافي للأستشارات الهندسية,Jeddah,Saudi Arabia,2026-08-27,https://saudi.tanqeeb.com/jobs-in-saudi/all/jobs/021191681.html
tanqeeb,21194974,,Foul and Falafel Instructor,شركة الوفاق المتطورة للمقاولات,Jeddah,Saudi Arabia,2026-08-29,https://saudi.tanqeeb.com/jobs-in-saudi/all/jobs/021194974.html
tanqeeb,21222673,,Marketing Specialist,نيلوفر,Riyadh,Saudi Arabia,2026-09-09,https://saudi.tanqeeb.com/jobs-in-saudi/all/jobs/021222673.html
tanqeeb,21215425,,Front Office,فندق النجمة الذهبية,Jeddah,Saudi Arabia,2026-09-06,https://saudi.tanqeeb.com/jobs-in-saudi/all/jobs/021215425.html
tanqeeb,21208163,,Baker (Head Baker),شركة الوفاق المتطورة للمقاولات,Jeddah,Saudi Arabia,2026-09-03,https://saudi.tanqeeb.com/jobs-in-saudi/all/jobs/021208163.html
tanqeeb,21197166,,Travel Consultant - مستشار سفر,عصر السفر,Riyadh,Saudi Arabia,2026-08-31,https://saudi.tanqeeb.com/jobs-in-saudi/all/jobs/021197166.html
tanqeeb,21191418,,Food Server (Waiter),شركة رخام القابضة,Riyadh,Saudi Arabia,2026-08-27,https://saudi.tanqeeb.com/jobs-in-saudi/all/jobs/021191418.html
tanqeeb,21185196,,Sales and Events Coordinator,enala,Riyadh,Saudi Arabia,2026-08-25,https://saudi.tanqeeb.com/jobs-in-saudi/all/jobs/021185196.html
tanqeeb,21146884,,Reception,,Makkah,Saudi Arabia,2026-08-10,https://saudi.tanqeeb.com/jobs-in-saudi/all/jobs/021146884.html
tanqeeb,21144814,,Front Office Associate,Emaar Rsoukh Hotel,Medina,Saudi Arabia,2026-08-09,https://saudi.tanqeeb.com/jobs-in-saudi/all/jobs/021144814.html
tanqeeb,21120890,,Teacher,,Riyadh,Saudi Arabia,2026-08-01,https://saudi.tanqeeb.com/jobs-in-saudi/all/jobs/021120890.html
tanqeeb,21190268,,Sales Engineer – Construction & Insulation Solutions,شركة صالح للمقاولات والعزل,Medina,Saudi Arabia,2026-08-26,https://saudi.tanqeeb.com/jobs-in-saudi/all/jobs/021190268.html
tanqeeb,21222959,,Receptionist,مجمع نوفا لطب الاسنان,,Saudi Arabia,2026-09-09,https://saudi.tanqeeb.com/jobs-in-saudi/all/jobs/021222959.html
tanqeeb,21222961,,Director of Operations and Business Development,مؤسسة معاذ عصام الصبياني,,Saudi Arabia,2026-09-09,https://saudi.tanqeeb.com/jobs-in-saudi/all/jobs/021222961.html
tanqeeb,21222962,,Social Media Executive And Graphic Designer,Save your skin,,Saudi Arabia,2026-09-09,https://saudi.tanqeeb.com/jobs-in-saudi/all/jobs/021222962.html
tanqeeb,21222966,,Government Relations Officer (GRO),China State Construction Engrg.Corp LTD(KSA),,Saudi Arabia,2026-09-09,https://saudi.tanqeeb.com/jobs-in-saudi/all/jobs/021222966.html
tanqeeb,21223383,,Customs Clearance Office Representative,مؤسسة الرفاع العربية للتخليص الجمركي,Jeddah,Saudi Arabia,2026-09-09,https://saudi.tanqeeb.com/jobs-in-saudi/all/jobs/021223383.html
tanqeeb,21223388,,HR Admin,Absen  Middle East Company,,Saudi Arabia,2026-09-09,https://saudi.tanqeeb.com/jobs-in-saudi/all/jobs/021223388.html
tanqeeb,21223389,,HR Admin,Absen  Middle East Company,,Saudi Arabia,2026-09-09,https://saudi.tanqeeb.com/jobs-in-saudi/all/jobs/021223389.html
